REQUESTQty,SHIPDays,APROVEDQty,STOCKprice,AWARDprice,INVprice,BeginINV,ENDInv
5290,4,5290,4.07,2.2112,3.076,11697.25,16272.04
9774,1,9774,3.888,2.8089,3.772,27454.19,36867.53
3713,3,3713,3.12,2.31,3.1588,8577.03,11728.62
3733,0,3733,3.888,2.8089,3.772,10485.62,14080.88
3170,2,3170,4.07,2.371,3.0955,7516.07,9812.74
5283,2,5283,4.07,2.5517,3.2762,13480.63,17308.16
9466,1,9466,3.888,2.0953,2.9366,19834.11,27797.86
9376,2,9376,3.888,2.1374,3.216,20040.26,30153.22
4740,1,4740,3.888,2.1856,3.1487,10359.74,14924.84
5249,2,5249,4.07,2.2112,3.0266,11606.59,15886.62
5245,1,5245,4.07,2.2112,3.0266,11597.74,15874.52
5312,3,5312,4.07,2.2112,3.0305,11745.89,16098.02
5256,3,5256,4.07,2.31,3.1293,12141.36,16447.6
18936,2,18936,3.888,2.1374,2.9787,40473.81,56404.66
9478,1,9478,3.888,2.0961,3.0592,19866.84,28995.1
23775,1,23775,3.888,2.4544,3.397,58353.36,80763.68
3682,1,3682,3.888,2.2504,3.0917,8285.97,11383.64
3674,0,3674,3.888,2.2504,3.0604,8267.97,11243.91
9506,1,9506,3.888,2.0961,3.0387,19925.53,28885.88
3681,3,3681,3.888,2.0916,3.0547,7699.18,11244.35
3681,1,3681,3.888,2.0916,3.0547,7699.18,11244.35
4733,3,4733,3.888,2.0953,3.0584,9917.05,14475.41
14166,1,14166,3.888,2.1374,2.9474,30278.41,41752.87
14202,1,14202,3.888,2.1374,2.9787,30355.35,42303.5
3682,1,3682,3.888,2.108,2.9493,7761.66,10859.32
3665,1,3665,4.07,2.41,3.2748,8832.65,12002.14
1044,1,1044,3.888,2.2504,3.102,2349.42,3238.49
4756,3,4756,3.888,2.5266,3.3679,12016.51,16017.73
4185,1,4185,4.07,2.31,3.3201,9667.35,13894.62
3629,3,3629,4.07,2.31,3.368,8382.99,12222.47
4755,0,4755,3.888,2.8089,3.6502,13356.32,17356.7
2630,2,2630,4.07,2.1852,3.1795,5747.08,8362.09
3152,2,3152,4.07,2.3715,3.3658,7474.97,10609
2377,0,2377,3.86,2.4191,3.5238,5750.2,8376.07
66332,2,66332,3.888,2.2955,3.2084,152265.11,212819.59
9534,1,9534,3.888,2.2955,3.2586,21885.3,31067.49
4227,2,4227,3.888,2.4835,3.4261,10497.75,14482.12
28500,0,28500,3.888,2.1374,3.2037,60915.9,91305.45
9384,1,9384,3.888,2.1374,3.216,20057.36,30178.94
3694,1,3694,3.888,2.1669,3.13,8004.53,11562.22
9510,0,9510,3.86,2.4191,3.5182,23005.64,33458.08
23775,6,23775,3.888,2.4544,3.397,58353.36,80763.68
1585,0,1585,3.888,2.8089,3.6502,4452.11,5785.57
6868,0,6868,3.888,2.8089,3.772,19291.53,25906.1
264,0,264,3.888,2.8089,3.772,741.55,995.81
3199,2,3199,3.888,2.3266,3.1979,7442.79,10230.08
528,0,528,4.07,2.6441,3.6065,1396.08,1904.23
8189,0,8189,2.98,2.8089,3.7799,23002.08,30953.6
2377,22,2377,3.88,2.8566,3.8197,6790.14,9079.43
6333,1,6333,4.07,2.1954,2.9074,13903.47,18412.56
1583,1,1583,4.07,2.3727,3.0847,3755.98,4883.08
5277,2,5277,4.07,2.2112,3.2055,11668.5,16915.42
18892,4,18892,3.888,2.1374,2.9474,40379.76,55682.28
14169,3,14169,3.888,2.1374,2.9474,30284.82,41761.71
1585,0,1585,4.07,2.6441,3.6734,4190.9,5822.34
5234,1,5234,4.07,2.2112,3.0509,11573.42,15968.41
4755,0,4755,3.86,2.4191,3.5238,11502.82,16755.67
3694,0,3694,3.888,2.2504,3.3167,8312.98,12251.89
500,0,500,2.98,2.8089,3.8623,1404.45,1931.15
2377,0,2377,3.888,2.8089,3.7515,6676.76,8917.32
1849,0,1849,3.888,2.8089,3.7515,5193.66,6936.52
3170,0,3170,3.888,2.8089,3.7515,8904.21,11892.26
9510,0,9510,3.86,2.4191,3.5207,23005.64,33481.86
9510,0,9510,3.86,2.4191,3.5182,23005.64,33458.08
4755,0,4755,3.86,2.4191,3.5182,11502.82,16729.04
9556,0,9556,4.07,2.1954,2.8908,20979.24,27624.48
5290,1,5290,4.07,2.2112,3.076,11697.25,16272.04
4782,3,4782,3.88,2.5266,3.5929,12082.2,17181.25
5283,5,5283,4.07,2.371,3.083,12525.99,16287.49
1842,0,1842,3.888,2.8089,3.772,5173.99,6948.02
2113,0,2113,2.98,2.8089,3.8623,5935.21,8161.04
9402,1,9402,3.888,2.1374,3.216,20095.83,30236.83
1585,2,1585,3.86,2.4191,3.5238,3834.27,5585.22
3115,2,3115,4.07,2.3656,3.4424,7368.84,10723.08
5233,5,5233,4.07,2.2112,3.288,11571.21,17206.1
10470,3,10470,4.07,2.2112,3.288,23151.26,34425.36
9510,0,9510,3.86,2.4191,3.484,23005.64,33132.84
4755,0,4755,3.86,2.4191,3.484,11502.82,16566.42
1593,3,1593,4.07,2.3727,3.0681,3779.71,4887.48
66752,1,66752,3.88,2.2955,3.2586,153229.22,217518.07
32831,2,32831,3.888,2.1374,3.08,70172.98,101119.48
4755,0,4755,3.86,2.4191,3.484,11502.82,16566.42
3475,10,3475,2.98,2.8089,3.8595,9760.93,13411.76
1280,10,1280,2.98,2.8089,3.8595,3595.39,4940.16
19020,3,19020,3.888,2.4544,3.397,46682.69,64610.94
1057,2,1057,3.888,2.4544,3.397,2594.3,3590.63
15322,1,15322,3.888,2.4544,3.397,37606.32,52048.83
5265,1,5265,4.07,2.31,3.1293,12162.15,16475.76
