ShipDays,QTYRequest,QTYApproved,PRICEStock,PRICEAward,PRICEInv,QTYOnhand,QTYFinal
25,1000,1000,2.4366,2.4366,2.4366,2436.6,2436.6
25,3400,3400,2.3266,2.3266,2.3266,7910.44,7910.44
8,7888,7888,2.1969,2.1969,2.1969,7557.49,17329.15
36,8881,8881,2.4957,2.4957,2.4957,8592.37,22164.31
0,4975,4975,1.9865,1.9865,1.9865,9882.84,9882.84
4,7533,7533,1.8016,1.8016,1.8016,7099.1,13571.45
112,4000,4000,2.49819,2.49819,2.49819,4102.4,9992.76
25,4956,4956,2.424,2.424,2.424,12013.34,12013.34
6,8372,8372,3.5959,3.5959,3.5959,30104.87,30104.87
5,5530,5530,1.6945,1.6945,1.6945,5708.62,9370.59
3,7407,7407,2.6519,2.6519,2.6519,6615.93,19642.62
41,2700,2700,2.2274,2.2274,2.2274,2659.23,6013.98
32,8908,8908,1.9346,1.9346,1.9346,8618.49,17233.42
1,2419,2419,1.9905,1.9905,1.9905,2452.87,4815.02
1,7379,7379,3.2389,3.2389,3.2389,23899.84,23899.84
4,4459,4459,3.06,3.06,3.06,13644.54,13644.54
1,2419,2419,1.9905,1.9905,1.9905,2452.87,4815.02
20,1004,1004,2.0516,2.0516,2.0516,1017.95,2059.6
25,3348,3348,2.9455,2.9455,2.9455,9861.53,9861.53
1,3500,3500,1.974,1.974,1.974,3045.7,6909
5,8933,8933,2.99,2.99,2.99,26709.67,26709.67
7,8001,8001,1.8254,1.8254,1.8254,7673.76,14605.03
2,7474,7474,1.736,1.736,1.736,6675.78,12974.86
1,4022,4022,1.814,1.814,1.814,7322.05,7295.91
3,1098,1098,2.09,2.09,2.09,2075.22,2294.82
5,7421,7421,3.748,3.748,3.748,27813.91,27813.91
2,3940,3940,3.5815,3.5815,3.5815,14111.11,14111.11
7,5079,5079,2.4829,2.4829,2.4829,4531.48,12610.65
28,7421,7421,3.748,3.748,3.748,27813.91,27813.91
5,7385,7385,2.9455,2.9455,2.9455,21752.52,21752.52
1,3940,3940,2.89,2.89,2.89,11386.6,11386.6
1,4022,4022,1.814,1.814,1.814,7322.05,7295.91
11,7442,7442,2.7048,2.7048,2.7048,6647.19,20129.12
